row_id,row_name,date,items
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2016-05-01,3253
06N,NHS HERTS VALLEYS CCG,2016-05-01,2073
06Q,NHS MID ESSEX CCG,2016-05-01,4660
06T,NHS NORTH EAST ESSEX CCG,2016-05-01,5083
07G,NHS THURROCK CCG,2016-05-01,1305
07H,NHS WEST ESSEX CCG,2016-05-01,1953
07K,NHS WEST SUFFOLK CCG,2016-05-01,2425
09D,NHS BRIGHTON AND HOVE CCG,2016-05-01,2993
10Q,NHS OXFORDSHIRE CCG,2016-05-01,2865
10R,NHS PORTSMOUTH CCG,2016-05-01,1578
11J,NHS DORSET CCG,2016-05-01,3581
11M,NHS GLOUCESTERSHIRE CCG,2016-05-01,5753
11N,NHS KERNOW CCG,2016-05-01,6025
11X,NHS SOMERSET CCG,2016-05-01,3388
12F,NHS WIRRAL CCG,2016-05-01,2716
13T,NHS NEWCASTLE GATESHEAD CCG,2016-05-01,6743
14L,NHS MANCHESTER CCG,2016-05-01,6992
14Y,NHS BUCKINGHAMSHIRE CCG,2016-05-01,571
15A,NHS BERKSHIRE WEST CCG,2016-05-01,2687
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",2016-05-01,7900
15E,NHS BIRMINGHAM AND SOLIHULL CCG,2016-05-01,8289
15F,NHS LEEDS CCG,2016-05-01,6976
15M,NHS DERBY AND DERBYSHIRE CCG,2016-05-01,5090
15N,NHS DEVON CCG,2016-05-01,11863
16C,NHS TEES VALLEY CCG,2016-05-01,9301
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,2016-05-01,4663
26A,NHS NORFOLK AND WAVENEY CCG,2016-05-01,12183
27D,NHS CHESHIRE CCG,2016-05-01,5828
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,2016-05-01,3871
36L,NHS SOUTH WEST LONDON CCG,2016-05-01,8527
42D,NHS NORTH YORKSHIRE CCG,2016-05-01,3536
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,2016-05-01,6208
70F,NHS WEST SUSSEX CCG,2016-05-01,5679
71E,NHS LINCOLNSHIRE CCG,2016-05-01,10645
72Q,NHS SOUTH EAST LONDON CCG,2016-05-01,10131
78H,NHS NORTHAMPTONSHIRE CCG,2016-05-01,4021
84H,NHS COUNTY DURHAM CCG,2016-05-01,8401
91Q,NHS KENT AND MEDWAY CCG,2016-05-01,16515
92A,NHS SURREY HEARTLANDS CCG,2016-05-01,6065
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",2016-05-01,6578
93C,NHS NORTH CENTRAL LONDON CCG,2016-05-01,4618
97R,NHS EAST SUSSEX CCG,2016-05-01,3992
99A,NHS LIVERPOOL CCG,2016-05-01,6382
99C,NHS NORTH TYNESIDE CCG,2016-05-01,2504
99E,NHS BASILDON AND BRENTWOOD CCG,2016-05-01,2160
99F,NHS CASTLE POINT AND ROCHFORD CCG,2016-05-01,1481
99G,NHS SOUTHEND CCG,2016-05-01,1744
A3A8R,NHS NORTH EAST LONDON CCG,2016-05-01,12757
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,2016-05-01,4992
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,2016-05-01,10302
D4U1Y,NHS FRIMLEY CCG,2016-05-01,3471
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",2016-05-01,11396
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",2016-05-01,3818
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",2016-05-01,3763
W2U3Z,NHS NORTH WEST LONDON CCG,2016-05-01,13767
X2C4Y,NHS KIRKLEES CCG,2016-05-01,4349
00L,NHS NORTHUMBERLAND CCG,2016-06-01,3201
00N,NHS SOUTH TYNESIDE CCG,2016-06-01,1892
00P,NHS SUNDERLAND CCG,2016-06-01,4264
00Q,NHS BLACKBURN WITH DARWEN CCG,2016-06-01,1277
00R,NHS BLACKPOOL CCG,2016-06-01,1565
00T,NHS BOLTON CCG,2016-06-01,3438
00V,NHS BURY CCG,2016-06-01,1709
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2016-06-01,1532
00Y,NHS OLDHAM CCG,2016-06-01,2920
01A,NHS EAST LANCASHIRE CCG,2016-06-01,2808
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2016-06-01,2693
01E,NHS GREATER PRESTON CCG,2016-06-01,2311
01F,NHS HALTON CCG,2016-06-01,1952
01G,NHS SALFORD CCG,2016-06-01,2915
01H,NHS NORTH CUMBRIA CCG,2016-06-01,2517
01J,NHS KNOWSLEY CCG,2016-06-01,2605
01K,NHS MORECAMBE BAY CCG,2016-06-01,3142
01T,NHS SOUTH SEFTON CCG,2016-06-01,2113
01V,NHS SOUTHPORT AND FORMBY CCG,2016-06-01,1607
01W,NHS STOCKPORT CCG,2016-06-01,3014
01X,NHS ST HELENS CCG,2016-06-01,3499
01Y,NHS TAMESIDE AND GLOSSOP CCG,2016-06-01,2007
02A,NHS TRAFFORD CCG,2016-06-01,3318
02E,NHS WARRINGTON CCG,2016-06-01,2225
02G,NHS WEST LANCASHIRE CCG,2016-06-01,1174
02H,NHS WIGAN BOROUGH CCG,2016-06-01,4266
02M,NHS FYLDE AND WYRE CCG,2016-06-01,1641
02P,NHS BARNSLEY CCG,2016-06-01,3753
02Q,NHS BASSETLAW CCG,2016-06-01,1373
02T,NHS CALDERDALE CCG,2016-06-01,2051
02X,NHS DONCASTER CCG,2016-06-01,3470
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2016-06-01,2416
03F,NHS HULL CCG,2016-06-01,2597
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2016-06-01,1174
03K,NHS NORTH LINCOLNSHIRE CCG,2016-06-01,1840
03L,NHS ROTHERHAM CCG,2016-06-01,2350
03N,NHS SHEFFIELD CCG,2016-06-01,6510
03Q,NHS VALE OF YORK CCG,2016-06-01,2909
03R,NHS WAKEFIELD CCG,2016-06-01,3812
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2016-06-01,2280
04C,NHS LEICESTER CITY CCG,2016-06-01,1948
04V,NHS WEST LEICESTERSHIRE CCG,2016-06-01,2527
04Y,NHS CANNOCK CHASE CCG,2016-06-01,1182
05D,NHS EAST STAFFORDSHIRE CCG,2016-06-01,854
05G,NHS NORTH STAFFORDSHIRE CCG,2016-06-01,1562
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2016-06-01,2335
05V,NHS STAFFORD AND SURROUNDS CCG,2016-06-01,1261
05W,NHS STOKE ON TRENT CCG,2016-06-01,2451
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2016-06-01,5430
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2016-06-01,2965
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2016-06-01,3318
06N,NHS HERTS VALLEYS CCG,2016-06-01,2290
06Q,NHS MID ESSEX CCG,2016-06-01,4844
06T,NHS NORTH EAST ESSEX CCG,2016-06-01,5375
07G,NHS THURROCK CCG,2016-06-01,1257
07H,NHS WEST ESSEX CCG,2016-06-01,2052
07K,NHS WEST SUFFOLK CCG,2016-06-01,2500
09D,NHS BRIGHTON AND HOVE CCG,2016-06-01,2932
10Q,NHS OXFORDSHIRE CCG,2016-06-01,3075
10R,NHS PORTSMOUTH CCG,2016-06-01,1607
11J,NHS DORSET CCG,2016-06-01,3729
11M,NHS GLOUCESTERSHIRE CCG,2016-06-01,6047
11N,NHS KERNOW CCG,2016-06-01,6417
11X,NHS SOMERSET CCG,2016-06-01,3449
12F,NHS WIRRAL CCG,2016-06-01,2804
13T,NHS NEWCASTLE GATESHEAD CCG,2016-06-01,7348
14L,NHS MANCHESTER CCG,2016-06-01,7384
14Y,NHS BUCKINGHAMSHIRE CCG,2016-06-01,578
15A,NHS BERKSHIRE WEST CCG,2016-06-01,2813
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",2016-06-01,8398
15E,NHS BIRMINGHAM AND SOLIHULL CCG,2016-06-01,8629
15F,NHS LEEDS CCG,2016-06-01,7346
15M,NHS DERBY AND DERBYSHIRE CCG,2016-06-01,5331
15N,NHS DEVON CCG,2016-06-01,12418
16C,NHS TEES VALLEY CCG,2016-06-01,9835
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,2016-06-01,5070
26A,NHS NORFOLK AND WAVENEY CCG,2016-06-01,12707
27D,NHS CHESHIRE CCG,2016-06-01,6050
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,2016-06-01,4162
36L,NHS SOUTH WEST LONDON CCG,2016-06-01,8676
42D,NHS NORTH YORKSHIRE CCG,2016-06-01,3894
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,2016-06-01,6603
70F,NHS WEST SUSSEX CCG,2016-06-01,6047
71E,NHS LINCOLNSHIRE CCG,2016-06-01,11257
72Q,NHS SOUTH EAST LONDON CCG,2016-06-01,10459
78H,NHS NORTHAMPTONSHIRE CCG,2016-06-01,4241
84H,NHS COUNTY DURHAM CCG,2016-06-01,8691
91Q,NHS KENT AND MEDWAY CCG,2016-06-01,17277
92A,NHS SURREY HEARTLANDS CCG,2016-06-01,6438
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",2016-06-01,6971
93C,NHS NORTH CENTRAL LONDON CCG,2016-06-01,5030
97R,NHS EAST SUSSEX CCG,2016-06-01,4105
99A,NHS LIVERPOOL CCG,2016-06-01,6874
99C,NHS NORTH TYNESIDE CCG,2016-06-01,2722
99E,NHS BASILDON AND BRENTWOOD CCG,2016-06-01,2357
99F,NHS CASTLE POINT AND ROCHFORD CCG,2016-06-01,1639
99G,NHS SOUTHEND CCG,2016-06-01,1796
A3A8R,NHS NORTH EAST LONDON CCG,2016-06-01,13655
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,2016-06-01,5325
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,2016-06-01,10669
D4U1Y,NHS FRIMLEY CCG,2016-06-01,3704
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",2016-06-01,11910
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",2016-06-01,4032
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",2016-06-01,3950
W2U3Z,NHS NORTH WEST LONDON CCG,2016-06-01,14436
X2C4Y,NHS KIRKLEES CCG,2016-06-01,4410
00L,NHS NORTHUMBERLAND CCG,2016-07-01,3261
00N,NHS SOUTH TYNESIDE CCG,2016-07-01,1744
00P,NHS SUNDERLAND CCG,2016-07-01,4228
00Q,NHS BLACKBURN WITH DARWEN CCG,2016-07-01,1200
00R,NHS BLACKPOOL CCG,2016-07-01,1468
00T,NHS BOLTON CCG,2016-07-01,3414
00V,NHS BURY CCG,2016-07-01,1665
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2016-07-01,1597
00Y,NHS OLDHAM CCG,2016-07-01,2832
01A,NHS EAST LANCASHIRE CCG,2016-07-01,2838
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2016-07-01,2594
01E,NHS GREATER PRESTON CCG,2016-07-01,2284
01F,NHS HALTON CCG,2016-07-01,2172
01G,NHS SALFORD CCG,2016-07-01,2897
01H,NHS NORTH CUMBRIA CCG,2016-07-01,2449
01J,NHS KNOWSLEY CCG,2016-07-01,2616
01K,NHS MORECAMBE BAY CCG,2016-07-01,3005
01T,NHS SOUTH SEFTON CCG,2016-07-01,2127
01V,NHS SOUTHPORT AND FORMBY CCG,2016-07-01,1559
01W,NHS STOCKPORT CCG,2016-07-01,2818
01X,NHS ST HELENS CCG,2016-07-01,3598
01Y,NHS TAMESIDE AND GLOSSOP CCG,2016-07-01,1985
02A,NHS TRAFFORD CCG,2016-07-01,3061
02E,NHS WARRINGTON CCG,2016-07-01,2239
02G,NHS WEST LANCASHIRE CCG,2016-07-01,1202
02H,NHS WIGAN BOROUGH CCG,2016-07-01,4174
02M,NHS FYLDE AND WYRE CCG,2016-07-01,1571
02P,NHS BARNSLEY CCG,2016-07-01,3638
02Q,NHS BASSETLAW CCG,2016-07-01,1352
02T,NHS CALDERDALE CCG,2016-07-01,2032
02X,NHS DONCASTER CCG,2016-07-01,3310
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2016-07-01,2351
03F,NHS HULL CCG,2016-07-01,2696
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2016-07-01,1220
03K,NHS NORTH LINCOLNSHIRE CCG,2016-07-01,1816
03L,NHS ROTHERHAM CCG,2016-07-01,2188
03N,NHS SHEFFIELD CCG,2016-07-01,6492
03Q,NHS VALE OF YORK CCG,2016-07-01,2955
03R,NHS WAKEFIELD CCG,2016-07-01,3686
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2016-07-01,2117
04C,NHS LEICESTER CITY CCG,2016-07-01,1900
04V,NHS WEST LEICESTERSHIRE CCG,2016-07-01,2352
04Y,NHS CANNOCK CHASE CCG,2016-07-01,1181
05D,NHS EAST STAFFORDSHIRE CCG,2016-07-01,797
05G,NHS NORTH STAFFORDSHIRE CCG,2016-07-01,1536
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2016-07-01,2410
05V,NHS STAFFORD AND SURROUNDS CCG,2016-07-01,1280
05W,NHS STOKE ON TRENT CCG,2016-07-01,2359
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2016-07-01,5477
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2016-07-01,3038
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2016-07-01,3183
06N,NHS HERTS VALLEYS CCG,2016-07-01,2124
06Q,NHS MID ESSEX CCG,2016-07-01,4612
06T,NHS NORTH EAST ESSEX CCG,2016-07-01,5315
07G,NHS THURROCK CCG,2016-07-01,1211
07H,NHS WEST ESSEX CCG,2016-07-01,1993
07K,NHS WEST SUFFOLK CCG,2016-07-01,2502
09D,NHS BRIGHTON AND HOVE CCG,2016-07-01,2932
10Q,NHS OXFORDSHIRE CCG,2016-07-01,2969
10R,NHS PORTSMOUTH CCG,2016-07-01,1623
11J,NHS DORSET CCG,2016-07-01,3695
11M,NHS GLOUCESTERSHIRE CCG,2016-07-01,5940
11N,NHS KERNOW CCG,2016-07-01,6329
11X,NHS SOMERSET CCG,2016-07-01,3496
12F,NHS WIRRAL CCG,2016-07-01,2760
13T,NHS NEWCASTLE GATESHEAD CCG,2016-07-01,7041
14L,NHS MANCHESTER CCG,2016-07-01,7119
14Y,NHS BUCKINGHAMSHIRE CCG,2016-07-01,629
15A,NHS BERKSHIRE WEST CCG,2016-07-01,2927
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",2016-07-01,8024
15E,NHS BIRMINGHAM AND SOLIHULL CCG,2016-07-01,8648
15F,NHS LEEDS CCG,2016-07-01,7245
15M,NHS DERBY AND DERBYSHIRE CCG,2016-07-01,5442
15N,NHS DEVON CCG,2016-07-01,12283
16C,NHS TEES VALLEY CCG,2016-07-01,9827
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,2016-07-01,4989
26A,NHS NORFOLK AND WAVENEY CCG,2016-07-01,12573
27D,NHS CHESHIRE CCG,2016-07-01,6052
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,2016-07-01,4100
36L,NHS SOUTH WEST LONDON CCG,2016-07-01,8920
42D,NHS NORTH YORKSHIRE CCG,2016-07-01,3606
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,2016-07-01,6308
70F,NHS WEST SUSSEX CCG,2016-07-01,6049
71E,NHS LINCOLNSHIRE CCG,2016-07-01,11106
72Q,NHS SOUTH EAST LONDON CCG,2016-07-01,10555
78H,NHS NORTHAMPTONSHIRE CCG,2016-07-01,4170
84H,NHS COUNTY DURHAM CCG,2016-07-01,8608
91Q,NHS KENT AND MEDWAY CCG,2016-07-01,17290
92A,NHS SURREY HEARTLANDS CCG,2016-07-01,6611
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",2016-07-01,6659
93C,NHS NORTH CENTRAL LONDON CCG,2016-07-01,4925
97R,NHS EAST SUSSEX CCG,2016-07-01,4028
99A,NHS LIVERPOOL CCG,2016-07-01,6632
99C,NHS NORTH TYNESIDE CCG,2016-07-01,2737
99E,NHS BASILDON AND BRENTWOOD CCG,2016-07-01,2383
99F,NHS CASTLE POINT AND ROCHFORD CCG,2016-07-01,1548
99G,NHS SOUTHEND CCG,2016-07-01,1726
A3A8R,NHS NORTH EAST LONDON CCG,2016-07-01,13394
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,2016-07-01,5124
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,2016-07-01,10674
D4U1Y,NHS FRIMLEY CCG,2016-07-01,3719
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",2016-07-01,11934
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",2016-07-01,3915
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",2016-07-01,3818
W2U3Z,NHS NORTH WEST LONDON CCG,2016-07-01,14260
X2C4Y,NHS KIRKLEES CCG,2016-07-01,4638
00L,NHS NORTHUMBERLAND CCG,2016-08-01,3195
00N,NHS SOUTH TYNESIDE CCG,2016-08-01,2032
00P,NHS SUNDERLAND CCG,2016-08-01,4374
00Q,NHS BLACKBURN WITH DARWEN CCG,2016-08-01,1239
00R,NHS BLACKPOOL CCG,2016-08-01,1530
00T,NHS BOLTON CCG,2016-08-01,3520
00V,NHS BURY CCG,2016-08-01,1754
00X,NHS CHORLEY AND SOUTH RIBBLE CCG,2016-08-01,1582
00Y,NHS OLDHAM CCG,2016-08-01,3094
01A,NHS EAST LANCASHIRE CCG,2016-08-01,2969
01C,NHS EASTERN CHESHIRE CCG,2016-08-01,1
01D,"NHS HEYWOOD, MIDDLETON AND ROCHDALE CCG",2016-08-01,2674
01E,NHS GREATER PRESTON CCG,2016-08-01,2325
01F,NHS HALTON CCG,2016-08-01,2142
01G,NHS SALFORD CCG,2016-08-01,3126
01H,NHS NORTH CUMBRIA CCG,2016-08-01,2675
01J,NHS KNOWSLEY CCG,2016-08-01,2706
01K,NHS MORECAMBE BAY CCG,2016-08-01,3093
01T,NHS SOUTH SEFTON CCG,2016-08-01,2237
01V,NHS SOUTHPORT AND FORMBY CCG,2016-08-01,1641
01W,NHS STOCKPORT CCG,2016-08-01,2973
01X,NHS ST HELENS CCG,2016-08-01,3675
01Y,NHS TAMESIDE AND GLOSSOP CCG,2016-08-01,2115
02A,NHS TRAFFORD CCG,2016-08-01,3222
02D,NHS VALE ROYAL CCG,2016-08-01,1
02E,NHS WARRINGTON CCG,2016-08-01,2280
02G,NHS WEST LANCASHIRE CCG,2016-08-01,1235
02H,NHS WIGAN BOROUGH CCG,2016-08-01,3979
02M,NHS FYLDE AND WYRE CCG,2016-08-01,1638
02P,NHS BARNSLEY CCG,2016-08-01,3744
02Q,NHS BASSETLAW CCG,2016-08-01,1339
02T,NHS CALDERDALE CCG,2016-08-01,2149
02X,NHS DONCASTER CCG,2016-08-01,3417
02Y,NHS EAST RIDING OF YORKSHIRE CCG,2016-08-01,2445
03F,NHS HULL CCG,2016-08-01,2717
03H,NHS NORTH EAST LINCOLNSHIRE CCG,2016-08-01,1234
03K,NHS NORTH LINCOLNSHIRE CCG,2016-08-01,1928
03L,NHS ROTHERHAM CCG,2016-08-01,2360
03N,NHS SHEFFIELD CCG,2016-08-01,6568
03Q,NHS VALE OF YORK CCG,2016-08-01,3062
03R,NHS WAKEFIELD CCG,2016-08-01,3739
03W,NHS EAST LEICESTERSHIRE AND RUTLAND CCG,2016-08-01,2236
04C,NHS LEICESTER CITY CCG,2016-08-01,1998
04V,NHS WEST LEICESTERSHIRE CCG,2016-08-01,2572
04Y,NHS CANNOCK CHASE CCG,2016-08-01,1258
05D,NHS EAST STAFFORDSHIRE CCG,2016-08-01,847
05G,NHS NORTH STAFFORDSHIRE CCG,2016-08-01,1543
05Q,NHS SOUTH EAST STAFFORDSHIRE AND SEISDON PENINSULA CCG,2016-08-01,2534
05V,NHS STAFFORD AND SURROUNDS CCG,2016-08-01,1234
05W,NHS STOKE ON TRENT CCG,2016-08-01,2463
06H,NHS CAMBRIDGESHIRE AND PETERBOROUGH CCG,2016-08-01,5688
06K,NHS EAST AND NORTH HERTFORDSHIRE CCG,2016-08-01,3051
06L,NHS IPSWICH AND EAST SUFFOLK CCG,2016-08-01,3312
06N,NHS HERTS VALLEYS CCG,2016-08-01,2365
06Q,NHS MID ESSEX CCG,2016-08-01,4673
06T,NHS NORTH EAST ESSEX CCG,2016-08-01,5261
07G,NHS THURROCK CCG,2016-08-01,1322
07H,NHS WEST ESSEX CCG,2016-08-01,2018
07K,NHS WEST SUFFOLK CCG,2016-08-01,2594
09D,NHS BRIGHTON AND HOVE CCG,2016-08-01,3079
10Q,NHS OXFORDSHIRE CCG,2016-08-01,3200
10R,NHS PORTSMOUTH CCG,2016-08-01,1746
11J,NHS DORSET CCG,2016-08-01,3818
11M,NHS GLOUCESTERSHIRE CCG,2016-08-01,6050
11N,NHS KERNOW CCG,2016-08-01,6514
11X,NHS SOMERSET CCG,2016-08-01,3690
12F,NHS WIRRAL CCG,2016-08-01,2807
13T,NHS NEWCASTLE GATESHEAD CCG,2016-08-01,7437
14L,NHS MANCHESTER CCG,2016-08-01,7220
14Y,NHS BUCKINGHAMSHIRE CCG,2016-08-01,619
15A,NHS BERKSHIRE WEST CCG,2016-08-01,2947
15C,"NHS BRISTOL, NORTH SOMERSET AND SOUTH GLOUCESTERSHIRE CCG",2016-08-01,8681
15E,NHS BIRMINGHAM AND SOLIHULL CCG,2016-08-01,8886
15F,NHS LEEDS CCG,2016-08-01,7222
15M,NHS DERBY AND DERBYSHIRE CCG,2016-08-01,5597
15N,NHS DEVON CCG,2016-08-01,12781
16C,NHS TEES VALLEY CCG,2016-08-01,10291
18C,NHS HEREFORDSHIRE AND WORCESTERSHIRE CCG,2016-08-01,4973
26A,NHS NORFOLK AND WAVENEY CCG,2016-08-01,12800
27D,NHS CHESHIRE CCG,2016-08-01,6359
36J,NHS BRADFORD DISTRICT AND CRAVEN CCG,2016-08-01,4082
36L,NHS SOUTH WEST LONDON CCG,2016-08-01,9121
42D,NHS NORTH YORKSHIRE CCG,2016-08-01,3854
52R,NHS NOTTINGHAM AND NOTTINGHAMSHIRE CCG,2016-08-01,6432
70F,NHS WEST SUSSEX CCG,2016-08-01,6095
71E,NHS LINCOLNSHIRE CCG,2016-08-01,11712
72Q,NHS SOUTH EAST LONDON CCG,2016-08-01,10615
78H,NHS NORTHAMPTONSHIRE CCG,2016-08-01,4259
84H,NHS COUNTY DURHAM CCG,2016-08-01,9045
91Q,NHS KENT AND MEDWAY CCG,2016-08-01,17515
92A,NHS SURREY HEARTLANDS CCG,2016-08-01,6441
92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE CCG",2016-08-01,7066
93C,NHS NORTH CENTRAL LONDON CCG,2016-08-01,5012
97R,NHS EAST SUSSEX CCG,2016-08-01,4063
99A,NHS LIVERPOOL CCG,2016-08-01,6848
99C,NHS NORTH TYNESIDE CCG,2016-08-01,2793
99E,NHS BASILDON AND BRENTWOOD CCG,2016-08-01,2330
99F,NHS CASTLE POINT AND ROCHFORD CCG,2016-08-01,1624
99G,NHS SOUTHEND CCG,2016-08-01,1778
A3A8R,NHS NORTH EAST LONDON CCG,2016-08-01,13814
B2M3M,NHS COVENTRY AND WARWICKSHIRE CCG,2016-08-01,5375
D2P2L,NHS BLACK COUNTRY AND WEST BIRMINGHAM CCG,2016-08-01,10961
D4U1Y,NHS FRIMLEY CCG,2016-08-01,3769
D9Y0V,"NHS HAMPSHIRE, SOUTHAMPTON AND ISLE OF WIGHT CCG",2016-08-01,11926
M1J4Y,"NHS BEDFORDSHIRE, LUTON AND MILTON KEYNES CCG",2016-08-01,4104
M2L0M,"NHS SHROPSHIRE, TELFORD AND WREKIN CCG",2016-08-01,4010
W2U3Z,NHS NORTH WEST LONDON CCG,2016-08-01,14755
